,Open_time,Open,High,Low,Close,Volume,Close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore,Type
0,2017-08-01,4261.48000000,4745.42000000,3400.00000000,4724.89000000,10015.64027200,2017-08-31 23:59:59.999,42538297.66482722,69180,4610.01943100,19419232.11660334,10779.83873125,BTCUSDT
1,2017-09-01,4689.89000000,4939.19000000,2817.00000000,4378.51000000,27634.18912000,2017-09-30 23:59:59.999,110493081.58501816,228745,12353.17004300,49199923.91602857,11158.76978487,BTCUSDT
2,2017-10-01,4378.49000000,6498.01000000,4110.00000000,6463.00000000,41626.38846300,2017-10-31 23:59:59.999,228736757.83148792,303389,19231.85885300,105340098.61188824,15785.31815937,BTCUSDT
3,2017-11-01,6463.00000000,11300.03000000,5325.01000000,9838.96000000,108487.97811900,2017-11-30 23:59:59.999,892748838.39738990,577424,55476.98353800,464487575.89980884,34507.18297716,BTCUSDT
4,2017-12-01,9837.00000000,19798.68000000,9380.00000000,13716.36000000,408476.65839900,2017-12-31 23:59:59.999,5975573892.33559395,3082883,213940.58709900,3122653751.34879877,0,BTCUSDT
5,2018-01-01,13715.65000000,17176.24000000,9035.00000000,10285.10000000,816675.56446700,2018-01-31 23:59:59.999,9979686765.57534106,7214977,405900.52508400,4998781571.24693058,0,BTCUSDT
6,2018-02-01,10285.10000000,11786.01000000,6000.01000000,10326.76000000,1243940.85531000,2018-02-28 23:59:59.999,11576600898.49658111,11684784,605296.66562600,5637272324.13599608,0,BTCUSDT
7,2018-03-01,10325.64000000,11710.00000000,6600.10000000,6923.91000000,1235326.31402000,2018-03-31 23:59:59.999,10789435243.86019626,9237002,600809.01064500,5248981630.13088936,0,BTCUSDT
8,2018-04-01,6922.00000000,9759.82000000,6430.00000000,9246.01000000,1110964.01558100,2018-04-30 23:59:59.999,8963408127.53916937,7421056,562990.66695300,4545945701.67625334,0,BTCUSDT
9,2018-05-01,9246.01000000,10020.00000000,7032.95000000,7485.01000000,914476.37788500,2018-05-31 23:59:59.999,7717053810.96064344,7433740,465963.94634100,3927577118.13362902,0,BTCUSDT
10,2018-06-01,7485.01000000,7786.69000000,5750.00000000,6390.07000000,942249.76594400,2018-06-30 23:59:59.999,6334765066.66844589,6911213,511693.58065500,3444934498.10566652,0,BTCUSDT
11,2018-07-01,6391.08000000,8491.77000000,6070.00000000,7730.93000000,1102510.43678600,2018-07-31 23:59:59.999,7956324970.00891578,6137961,590311.68216100,4258637350.56596190,0,BTCUSDT
12,2018-08-01,7735.67000000,7750.00000000,5880.00000000,7011.21000000,1408159.81655600,2018-08-31 23:59:59.999,9361010282.35265388,6947401,757462.27035900,5036496276.22433455,0,BTCUSDT
13,2018-09-01,7011.21000000,7410.00000000,6111.00000000,6626.57000000,1100653.42331500,2018-09-30 23:59:59.999,7274119992.68028361,5764608,597396.26916500,3949166119.03017545,0,BTCUSDT
14,2018-10-01,6626.57000000,7680.00000000,6205.00000000,6371.93000000,629922.08621900,2018-10-31 23:59:59.999,4151246611.55369120,3852914,324179.63699100,2136571667.26482488,0,BTCUSDT
15,2018-11-01,6369.52000000,6615.15000000,3652.66000000,4041.32000000,1210365.44961700,2018-11-30 23:59:59.999,5762099746.49229576,6810319,616104.30841500,2927679837.81179288,0,BTCUSDT
16,2018-12-01,4041.27000000,4312.99000000,3156.26000000,3702.90000000,1591229.14717100,2018-12-31 23:59:59.999,5893038392.79130150,7933979,809310.77120000,2995966430.43942575,0,BTCUSDT
17,2019-01-01,3701.23000000,4069.80000000,3349.92000000,3434.10000000,908244.14054000,2019-01-31 23:59:59.999,3320676978.28286698,6315903,471134.13749800,1722159891.30143057,0,BTCUSDT
18,2019-02-01,3434.10000000,4198.00000000,3373.10000000,3813.69000000,861783.98672700,2019-02-28 23:59:59.999,3202849295.15280277,5866928,452235.78556200,1681041785.01339350,0,BTCUSDT
19,2019-03-01,3814.26000000,4140.00000000,3670.69000000,4103.95000000,787190.48925000,2019-03-31 23:59:59.999,3091934416.09679203,5549651,416484.15659500,1636152913.80973747,0,BTCUSDT
20,2019-04-01,4102.44000000,5600.00000000,4067.00000000,5320.81000000,1126961.31510100,2019-04-30 23:59:59.999,5743659745.68371413,7878682,575775.32679700,2933079322.35865091,0,BTCUSDT
21,2019-05-01,5321.94000000,9074.26000000,5316.20000000,8555.00000000,1498409.89023000,2019-05-31 23:59:59.999,11148664163.49330376,12978064,778598.08830100,5791322068.91823355,0,BTCUSDT
22,2019-06-01,8555.00000000,13970.00000000,7444.58000000,10854.10000000,1689489.64732600,2019-06-30 23:59:59.999,17039339677.99757938,15717591,869210.72254800,8732583691.02886349,0,BTCUSDT
23,2019-07-01,10854.10000000,13147.08000000,9060.00000000,10080.53000000,1886176.06591500,2019-07-31 23:59:59.999,20321356634.29785541,17005268,955194.46883700,10278506136.64589579,0,BTCUSDT
24,2019-08-01,10080.53000000,12330.70000000,9320.00000000,9587.47000000,1201961.57631600,2019-08-31 23:59:59.999,12906016545.40441983,11862163,607197.73048800,6523990464.57279859,0,BTCUSDT
